price,Date,AAPL,AMZN,AVGO,DIA,GOOGL,META,MSFT,NVDA,ONEQ,PINK,QQQ,SPY,TSLA
73097.77,2024-03-14,0.7297273850825801,0.8348902144055794,0.6715951585121108,0.8706637085721182,0.7476512415357103,0.8236967963866008,0.907807340414757,0.5906048478015784,0.8309707730943022,0.8947396744665868,0.8504487355273889,0.8519931633612923,0.4642857142857143
71420.03,2024-03-15,0.7281245088712746,0.8146660121280644,0.6573520900602547,0.8658824078885949,0.7376198075407062,0.8107509196394344,0.8890201361485619,0.5898862355232141,0.8227473016765728,0.897743083813465,0.8403395432157242,0.8461429076448276,0.46734287806919644
69497.76,2024-03-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65292.31,2024-03-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68425.42,2024-03-18,0.7327643490978347,0.814946243594124,0.6582778747390845,0.867515715853186,0.771580222381209,0.8323217990878833,0.8909415480793368,0.5940365891155068,0.8292947214268742,0.8992449033532117,0.8483542209037154,0.8511716107629659,0.4965714372907366
67708.94,2024-03-19,0.7427191185847406,0.8215786496121731,0.6586875931313375,0.8746082403038958,0.7681841968810879,0.8310824865645127,0.8996733305473895,0.600369529568515,0.8334850760799883,0.9037501322398368,0.8504678483368888,0.8559017435528584,0.4894857352120536
62132.52,2024-03-20,0.7536438562020955,0.8320877572060895,0.6817915090561059,0.8837591736660331,0.7771184140617657,0.8466242573009647,0.907828722129964,0.6069105770216255,0.8442228504834038,0.9106581345504874,0.8605515766880707,0.8638182914641709,0.5018857247488839
67819.06,2024-03-21,0.722851825159498,0.8320877572060895,0.7202625315935715,0.8899346070609604,0.7711623225544109,0.8503757368611928,0.916667217011528,0.6140493491852005,0.845270401565925,0.9091564298770483,0.8646239109556761,0.8666729051453586,0.49377144949776786
65535.98,2024-03-22,0.7266902918760454,0.8354506773376985,0.7231852933991519,0.8827300725406418,0.7877245502282185,0.8534237563935898,0.9153221959662317,0.633215947524854,0.846972659548103,0.9067535990198689,0.865612909812469,0.8650297999487058,0.4880857195172991
63509.04,2024-03-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
