Date,AAPL,AMZN,AVGO,DIA,GOOGL,META,MSFT,NVDA,ONEQ,PINK,QQQ,SPY,TSLA
2023-11-15,187.0934295654297,143.1999969482422,96.0598373413086,344.14715576171875,134.28749084472656,331.71124267578125,367.6606140136719,48.87321472167969,55.30861282348633,24.333967208862305,382.99322509765625,443.6802978515625,242.83999633789062
2023-11-16,188.78515625,142.8300018310547,94.49888610839844,343.90155029296875,136.59176635742188,333.1867980957031,374.1253356933594,49.46503829956055,55.2788200378418,24.423471450805664,383.32098388671875,444.2229919433594,233.58999633789062
2023-11-17,188.76522827148438,145.17999267578125,96.28929901123047,344.0166931152344,134.9757843017578,334.0342712402344,367.83966064453125,49.2830924987793,55.37812042236328,24.52092933654785,383.4103698730469,444.7755126953125,234.3000030517578
2023-11-20,190.51666259765625,146.1300048828125,98.06002044677734,346.0743408203125,135.9134521484375,338.9494323730469,375.3883972167969,50.39375305175781,55.95404052734375,24.6800479888916,388.078369140625,448.19921875,235.60000610351562
2023-11-21,189.71060180664062,143.89999389648438,96.63103485107422,345.38519287109375,136.6316680908203,335.96844482421875,371.0421447753906,49.92889404296875,55.656150817871094,24.742700576782227,385.8238525390625,447.222412109375,241.1999969482422
2023-11-22,190.37733459472656,146.7100067138672,95.72499084472656,347.0982360839844,138.14791870117188,340.46490478515625,375.7961730957031,48.701263427734375,55.9639778137207,24.86302947998047,387.4029541015625,448.9490661621094,234.2100067138672
2023-11-24,189.0438690185547,146.74000549316406,96.40157318115234,348.3189392089844,136.3523712158203,337.2147216796875,375.37841796875,47.76155090332031,55.83489227294922,24.967453002929688,386.85675048828125,449.2253112792969,235.4499969482422
2023-11-27,188.86474609375,147.72999572753906,93.58201599121094,347.846435546875,136.07305908203125,333.6953125,376.552001953125,48.2274055480957,55.84482192993164,24.91275405883789,386.5190734863281,448.4162902832031,236.0800018310547
2023-11-28,189.4717559814453,147.02999877929688,93.19891357421875,348.62420654296875,136.86111450195312,337.9723815917969,380.61981201171875,47.80653381347656,55.98383331298828,24.685020446777344,387.5321044921875,448.86029052734375,246.72000122070312
2023-11-29,188.44679260253906,146.32000732421875,92.65528869628906,349.1558837890625,134.6565704345703,331.20281982421875,376.79071044921875,48.12543869018555,55.83489227294922,24.802370071411133,387.1546936035156,448.5445251464844,244.13999938964844
2023-11-30,189.0239715576172,146.08999633789062,91.16820526123047,354.4229736328125,132.20263671875,326.1679382324219,376.85040283203125,46.75585174560547,55.75545120239258,24.99927520751953,386.1813659667969,450.3106384277344,240.0800018310547
2023-12-01,190.30767822265625,147.02999877929688,91.58872985839844,357.42572021484375,131.5343017578125,323.844970703125,372.47430419921875,46.7508544921875,56.0235481262207,25.326459884643555,387.2838134765625,452.9746398925781,238.8300018310547
2023-12-04,188.50650024414062,144.83999633789062,90.99488067626953,357.0220947265625,128.95069885253906,319.0593566894531,367.133544921875,45.49623107910156,55.616432189941406,25.467676162719727,383.6884765625,450.5967712402344,235.5800018310547
2023-12-05,192.47705078125,146.8800048828125,89.92634582519531,356.3033752441406,130.6664581298828,317.3345642089844,370.4951171875,46.556007385253906,55.735595703125,25.254858016967773,384.6518859863281,450.50799560546875,238.72000122070312
2023-12-06,191.38241577148438,144.52000427246094,88.99272155761719,355.6240234375,129.6988525390625,316.4970703125,366.79534912109375,45.49323654174805,55.43770217895508,25.312536239624023,382.4270935058594,448.69256591796875,239.3699951171875
2023-12-07,193.32290649414062,146.8800048828125,90.82646942138672,356.2245788574219,136.59176635742188,325.609619140625,368.93365478515625,46.586002349853516,56.2022819519043,25.52834129333496,387.77044677734375,452.1162414550781,242.63999938964844
2023-12-08,194.75588989257812,147.4199981689453,92.99702453613281,357.49456787109375,134.6565704345703,331.7511291503906,372.19586181640625,47.49580764770508,56.48031997680664,25.521381378173828,389.4986267089844,454.0599670410156,243.83999633789062
2023-12-11,192.2382049560547,145.88999938964844,101.36212921142578,359.04034423828125,132.96075439453125,324.3035583496094,369.28173828125,46.61699676513672,56.59947967529297,25.62281608581543,392.8258056640625,455.8260803222656,239.74000549316406
2023-12-12,193.7607879638672,147.47999572753906,105.60082244873047,360.733642578125,132.1926727294922,333.21673583984375,372.34503173828125,47.64677810668945,56.947021484375,25.813756942749023,395.954345703125,457.9079284667969,237.00999450683594
2023-12-13,196.9949188232422,148.83999633789062,107.31539916992188,365.9811096191406,132.2425537109375,333.7351379394531,372.3350524902344,48.07768630981445,57.78111267089844,26.61232566833496,400.9898376464844,464.2225341796875,239.2899932861328
2023-12-14,197.14418029785156,147.4199981689453,108.96990203857422,367.54644775390625,131.61410522460938,332.16986083984375,363.9409484863281,48.339622497558594,57.91020202636719,26.711772918701172,400.6422119140625,465.71240234375,251.0500030517578
2023-12-15,196.60682678222656,149.97000122070312,111.2596206665039,367.67767333984375,132.27247619628906,333.9146423339844,368.7148742675781,48.87950897216797,58.131065368652344,26.435306549072266,402.5788879394531,464.9455871582031,253.5
2023-12-18,194.9350128173828,154.07000732421875,112.95943450927734,368.0230407714844,135.46456909179688,343.5854797363281,370.6243896484375,50.066253662109375,58.509124755859375,26.16480827331543,405.1145935058594,467.5609436035156,252.0800018310547
2023-12-19,195.97988891601562,153.7899932861328,112.74474334716797,370.5094909667969,136.3124542236328,349.30828857421875,371.23114013671875,49.59335708618164,58.867279052734375,26.53276824951172,407.1845703125,470.40411376953125,257.2200012207031
