timestamp,price
2024-03-29 01:00:00.000000,70710.2
2024-03-30 01:00:00.000000,69919.06
2024-03-31 01:00:00.000000,69702.31
2024-04-01 01:00:00.000000,71246.95
2024-04-02 01:00:00.000000,69785.93
2024-04-03 01:00:00.000000,65440.42
2024-04-04 01:00:00.000000,66123.94
2024-04-05 01:00:00.000000,68542.18
2024-04-06 01:00:00.000000,67978.61
2024-04-07 01:00:00.000000,69000.65
2024-04-08 01:00:00.000000,69401.97
2024-04-09 01:00:00.000000,71624.18
2024-04-10 01:00:00.000000,69158.64
2024-04-11 01:00:00.000000,70527.89
2024-04-12 01:00:00.000000,70106.66
2024-04-13 01:00:00.000000,67252.11
2024-04-14 01:00:00.000000,64404.83
2024-04-15 01:00:00.000000,65752.66
2024-04-16 01:00:00.000000,63430.57
2024-04-17 01:00:00.000000,63720.5
2024-04-18 01:00:00.000000,61328.9
2024-04-19 01:00:00.000000,63461.59
2024-04-20 01:00:00.000000,63988.82
2024-04-21 01:00:00.000000,64894.42
2024-04-22 01:00:00.000000,64936.42
2024-04-23 01:00:00.000000,66841.67
2024-04-24 01:00:00.000000,66406.95
2024-04-25 01:00:00.000000,64279.52
2024-04-26 01:00:00.000000,64486.18
2024-04-27 01:00:00.000000,63802.33
2024-04-28 01:00:00.000000,63517.25
2024-04-29 01:00:00.000000,63030.43
2024-04-30 01:00:00.000000,63797.68
2024-05-01 01:00:00.000000,60749.47
2024-05-02 01:00:00.000000,58297.57
2024-05-03 01:00:00.000000,59135.17
2024-05-04 01:00:00.000000,62839.34
2024-05-05 01:00:00.000000,63820.45
2024-05-06 01:00:00.000000,64010.01
2024-05-07 01:00:00.000000,63172.48
2024-05-08 01:00:00.000000,62363.06
2024-05-09 01:00:00.000000,61215.5
2024-05-10 01:00:00.000000,63148.6
2024-05-11 01:00:00.000000,60888.22
2024-05-12 01:00:00.000000,60776.97
2024-05-13 01:00:00.000000,61507.05
2024-05-14 01:00:00.000000,62878.78
2024-05-15 01:00:00.000000,61569.11
2024-05-16 01:00:00.000000,66220.52
2024-05-17 01:00:00.000000,65260.88
2024-05-18 01:00:00.000000,67053.12
2024-05-19 01:00:00.000000,66912.62
2024-05-20 01:00:00.000000,66252.71
2024-05-21 01:00:00.000000,71430.3
2024-05-22 01:00:00.000000,70189.84
2024-05-23 01:00:00.000000,69181.2
2024-05-24 01:00:00.000000,67906.47
2024-05-25 01:00:00.000000,68539.92
2024-05-26 01:00:00.000000,69268.45
2024-05-27 01:00:00.000000,68508.83
2024-05-28 01:00:00.000000,69367.24
2024-05-29 01:00:00.000000,68316.64
2024-05-30 01:00:00.000000,67577.27
2024-05-31 01:00:00.000000,68372.49
2024-06-01 01:00:00.000000,67474.95
2024-06-02 01:00:00.000000,67704.33
2024-06-03 01:00:00.000000,67740.02
2024-06-04 01:00:00.000000,68808.29
2024-06-05 01:00:00.000000,70600.01
2024-06-06 01:00:00.000000,71184.6
2024-06-07 01:00:00.000000,70759.59
2024-06-08 01:00:00.000000,69325.36
2024-06-09 01:00:00.000000,69315.1
2024-06-10 01:00:00.000000,69654.16
2024-06-11 01:00:00.000000,69493.18
2024-06-12 01:00:00.000000,67329.15
2024-06-13 01:00:00.000000,68224.52
2024-06-14 01:00:00.000000,66700.32
2024-06-15 01:00:00.000000,66011.08
2024-06-16 01:00:00.000000,66190.49
2024-06-17 01:00:00.000000,66615.54
2024-06-18 01:00:00.000000,66460.39
2024-06-19 01:00:00.000000,65109.31
2024-06-20 01:00:00.000000,64907.07
2024-06-21 01:00:00.000000,64844.67
2024-06-22 01:00:00.000000,64071.62
2024-06-23 01:00:00.000000,64239.9
2024-06-24 01:00:00.000000,63221.36
2024-06-25 01:00:00.000000,60363.23
2024-06-26 01:00:00.000000,61770.41
2024-06-27 01:00:00.000000,60749.9
2024-06-28 01:00:00.000000,61562.65
2024-06-29 01:00:00.000000,60317.1
2024-06-30 01:00:00.000000,60864.44
2024-07-01 01:00:00.000000,62734.39
2024-07-02 01:00:00.000000,62819.82
2024-07-03 01:00:00.000000,62042.57
2024-07-04 01:00:00.000000,60244.68
2024-07-05 01:00:00.000000,57189.17
2024-07-06 01:00:00.000000,56739.86
2024-07-07 01:00:00.000000,58230.48
2024-07-08 01:00:00.000000,55880.38
2024-07-09 01:00:00.000000,56665.14
2024-07-10 01:00:00.000000,57988.3
2024-07-11 01:00:00.000000,57704.2
2024-07-12 01:00:00.000000,57388.19
2024-07-13 01:00:00.000000,57899.29
2024-07-14 01:00:00.000000,59152.72
2024-07-15 01:00:00.000000,60942.33
2024-07-16 01:00:00.000000,64835.49
2024-07-17 01:00:00.000000,65162.24
2024-07-18 01:00:00.000000,64136.31
2024-07-19 01:00:00.000000,63959.57
2024-07-20 01:00:00.000000,66689.55
2024-07-21 01:00:00.000000,67206.06
2024-07-22 01:00:00.000000,68088.14
2024-07-23 01:00:00.000000,67607.71
2024-07-24 01:00:00.000000,65942.42
2024-07-25 01:00:00.000000,65403.54
2024-07-26 01:00:00.000000,65749.96
2024-07-27 01:00:00.000000,67920.3
2024-07-28 01:00:00.000000,68055.41
2024-07-29 01:00:00.000000,68242.25
2024-07-30 01:00:00.000000,66770.32
2024-07-31 01:00:00.000000,66219.05
2024-08-01 01:00:00.000000,64679.78
2024-08-02 01:00:00.000000,65357.53
2024-08-03 01:00:00.000000,61407.3
2024-08-04 01:00:00.000000,60738.74
2024-08-05 01:00:00.000000,58006.21
